UID,Name,Formula,MW,RT,gammaB1,gammaB2,gammaB3,NumOfQCoutliers,qcRSDB1,qcRSDB2,qcRSDB3,qcRSD,qcRSDlower95CI,qcRSDupper95CI,sampleRSDB1,sampleRSDB2,sampleRSDB3,sampleRSD,sampleRSDlower95CI,sampleRSDupper95CI,refRSDB1,refRSDB2,refRSDB3,refRSD,refRSDlower95CI,refRSDupper95CI,dRatioB1,dRatioB2,dRatioB3,dRatio,blankRatioB1,blankRatioB2,blankRatioB3,blankRatio
C18P36,"L(-)-Pipecolinic acid",C6 H11 N O2,129.07895,0.969,15,13,10,0,359.491459382956,33.4720263693411,21.3604226324985,120.141180034395,86.9066642537427,203.099156236391,249.883522943206,253.572617476988,326.432757382706,312.914120250015,248.80138605238,419.974954362379,NaN,NaN,NaN,NaN,NaN,NaN,143.863610993135,13.2001738604046,6.54359041775204,38.3942980707945,4.95287848446597,36.7331984198948,16.2007513933255,36.7331984198948
C18P37,"L(-)-Pipecolinic acid",C6 H11 N O2,129.07891,0.89,0,10,14,1,1.87155901374233,7.06772784389717,19.086973965438,11.07712625266,8.74777183552674,15.1168444376461,78.5167461453919,54.8625429843566,53.0870640441319,65.4213925831836,58.6295391907358,74.1471311067814,NaN,NaN,NaN,NaN,NaN,NaN,2.38364311516006,12.8826107202367,35.9540959913903,16.9319634071919,1.47437016050003,0.644028369355437,0.55655116179318,1.47437016050003
C18P38,"Glycochenodeoxycholic acid",C26 H43 N O5,449.31328,4.91,12,15,15,1,1.37266815168597,2.38879451562703,2.8181399768325,2.14215635581817,1.69355806639984,2.91605252117543,209.991711913965,175.951750707416,137.885118330044,173.938339388665,147.437400517512,213.144582120879,NaN,NaN,NaN,NaN,NaN,NaN,0.653677299534736,1.35764180010875,2.04383185869773,1.23156077225248,4.07961224475828,4.43026215836982,4.11632191760877,4.43026215836982
C18P39,"ECU0440_Stearoylethanolamide",C20 H41 N O2,327.31292,9.662,6,15,7,1,8.03278173142301,19.9101863512153,14.2183355742878,14.4956270035552,11.4381489493667,19.8186186963514,21.7891516893895,22.2229028706867,26.1567908614008,23.3030964950008,21.1730347218743,25.9207533352093,NaN,NaN,NaN,NaN,NaN,NaN,36.8659681934046,89.5930944173726,54.3581039800629,62.2047246238928,14.1766871115216,14.552262228007,24.9628122359821,24.9628122359821
C18P40,"ECU0128_D-Tryptophan",C11 H12 N2 O2,204.08961,3.225,15,2,12,0,1.33182294184559,0.699284619168042,3.58208067336972,2.09570011148104,1.66303697011743,2.83459120855089,22.4909840268883,20.0130751173621,25.6903653256677,22.7367937984693,20.660713223472,25.2871724062519,NaN,NaN,NaN,NaN,NaN,NaN,5.92158591306356,3.49413878210743,13.9432842933954,9.21721914732818,0.0791064975320252,0.0809454380132104,0.0835222592546174,0.0835222592546174
C18P41,"ECU0060_L-Arginine",C6 H14 N4 O2,174.11153,0.935,11,15,15,0,8.32929934716346,5.00507829887783,12.0916994722363,8.48494761419928,6.72900640758596,11.4925871066062,19.9986410752469,19.4998203355781,20.0719153435461,22.5028200585327,20.4489955167511,25.0254798435719,NaN,NaN,NaN,NaN,NaN,NaN,41.649326650864,25.6673046866277,60.2418815806943,37.7061523494781,1.28540107255621,1.10909329172682,1.17194592420388,1.28540107255621
C18P42,"Creatine monohydrate",C4 H9 N3 O2,131.0695,0.886,6,6,15,2,1.45287200247419,0.754416787317602,2.13101351243421,1.4588688820645,1.14885997975431,1.99937344302056,55.1049353371621,55.2991673568464,72.0045551325511,62.1569124234729,55.7816818528557,70.3125022730262,NaN,NaN,NaN,NaN,NaN,NaN,2.63655513536986,1.36424619641981,2.95955375116378,2.34707424352947,0.329832263677129,0.38521718151668,0.239422752176752,0.38521718151668
C18P43,"ECU0110_L-Tyrosine",C9 H11 N O3,181.07402,1.669,15,0,13,0,12.803706581413,1.40870734292874,7.33206751720523,8.27380144929627,6.56177029095249,11.2057775487001,32.62613707303,32.0649070397556,23.2252484528802,30.0404697948951,27.2547235338719,33.4809956887555,NaN,NaN,NaN,NaN,NaN,NaN,39.2437098904886,4.39329931997669,31.5693824851031,27.5421839464783,0.0853846886610645,0.0859783791095374,0.0717466604657857,0.0859783791095374
C18P44,"ECU0363_Decanoylcarnitine",C17 H33 N O4,315.24083,5.639,15,10,15,2,67.2447707528281,2.88341348390565,4.1533638098509,32.64417438818,25.4584785576623,45.7668687231721,315.867077052058,142.768417931215,118.360321612157,234.708939097698,193.070512187444,300.144406824743,NaN,NaN,NaN,NaN,NaN,NaN,21.2889457744105,2.01964378795236,3.50908459294377,13.9083643399674,0.093829378923796,0.218932516296585,0.248906252675446,0.248906252675446
C18P45,"ECU0006_trans-Cinnamic acid",C9 H8 O2,148.05227,3.005,15,11,13,1,3.34832804146977,7.22777903130367,27.0655513605139,15.2586226126245,12.0376892189565,20.8717793252568,21.3145165453554,22.3438265394854,32.451721638859,26.4529512996222,24.0195638844254,29.4499377681541,NaN,NaN,NaN,NaN,NaN,NaN,15.709143739408,32.3479911488345,83.4025130059801,57.6821181114956,0.827011325855089,0.802295743462533,1.05806449866943,1.05806449866943
